CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt
789968058,0,51,0,1,5,0,42,6,3,9036,2327,6709,0.649,1131
709919283,0,54,0,4,4,0,34,2,2,14926,2517,12409,1.996,1576
718744008,0,59,1,1,1,0,36,3,3,6335,1128,5207,0.397,1217
767712558,1,59,0,1,3,0,53,2,3,14979,0,14979,0.71,530
712950783,1,48,1,4,1,0,38,3,3,2732,0,2732,0.76,739
716104983,0,41,1,2,1,0,32,6,2,2250,2117,133,1.162,1617
818839983,0,55,0,2,5,0,50,3,0,10916,1536,9380,1.317,1592
772288758,0,47,1,4,0,0,36,4,3,5349,1228,4121,0.728,1343
712350858,0,41,0,2,4,0,24,4,3,9366,1104,8262,0.572,1303
711009708,0,40,0,3,4,0,28,5,0,21617,0,21617,1.047,1351
712720158,0,68,0,1,0,0,56,5,3,13860,1652,12208,1.255,1910
712215258,0,50,1,1,2,1,31,2,3,18386,0,18386,0.868,1298
773827008,0,47,0,4,3,0,41,6,2,2405,1540,865,0.469,1087
795232683,0,53,1,1,1,0,47,4,3,2154,930,1224,2.121,1439
713786508,0,42,1,5,2,0,36,3,3,2038,0,2038,0.786,1238
713539833,0,48,1,4,2,0,38,6,3,8135,0,8135,1.373,1716
712454058,0,49,0,1,5,0,38,6,3,9364,618,8746,0.554,1099
718759833,0,44,1,2,0,1,35,4,2,32643,0,32643,1.3,1058
718803333,0,43,1,4,1,0,34,2,1,3195,1954,1241,0.971,1285
720253908,0,56,0,0,4,0,43,5,1,2852,1024,1828,1.009,1651
714133158,0,59,1,1,0,0,36,2,3,4224,1305,2919,0.852,1152
713187033,0,46,0,1,3,0,36,3,2,20459,2071,18388,1.248,1767
714791208,0,47,1,4,1,0,41,6,3,3482,2114,1368,0.508,1039
772426383,0,50,1,4,2,0,40,5,3,3065,1570,1495,1.077,1130
710975883,0,51,1,3,1,0,43,3,2,2185,1761,424,0.682,1645
714264408,0,47,1,3,1,0,36,4,0,1611,746,865,0.993,1413
715827858,0,58,1,4,1,0,47,3,3,2822,2173,649,1.456,1218
713741358,1,46,0,5,4,0,33,6,3,32975,2517,30458,0.658,597
709531908,0,53,0,3,3,0,47,5,2,1438.3,0,1438.3,0.776,2184
716493408,0,45,1,4,0,0,36,4,3,15875,1719,14156,0.86,1592
714141108,0,52,1,1,1,0,45,6,3,6703,893,5810,0.567,1388
708953883,1,53,0,2,4,0,36,2,1,3212,0,3212,0.713,757
712608783,0,50,0,2,4,1,45,3,3,34516,1260,33256,0.588,1504
820353558,0,41,1,3,2,0,36,4,2,9797,1434,8363,0.644,1503
714964758,0,45,1,5,2,0,36,5,2,10400,1777,8623,0.791,1105
716264358,0,53,0,3,4,0,42,2,2,26792,1836,24956,1.432,2398
717296808,0,67,1,1,1,0,56,4,2,3006,2517,489,2.053,1661
712977183,0,57,1,2,2,1,36,6,0,19482,1072,18410,0.706,1421
710829108,0,59,1,1,2,0,36,4,3,3356,985,2371,0.35,999
779562633,0,45,0,2,2,0,34,3,1,5771,2248,3523,1.791,1387
715315833,0,51,0,3,4,0,36,6,3,11106,2107,8999,0.948,1243
815500983,0,59,1,1,1,0,54,5,0,2890,2001,889,1.334,1860
719360583,0,53,0,1,3,0,45,6,2,3380,1701,1679,0.747,1502
709701558,0,47,0,3,3,0,36,2,2,21331,1251,20080,0.949,1460
721148358,0,49,1,3,0,0,38,6,1,12860,0,12860,0.646,1348
779862408,0,49,0,3,4,0,33,3,0,6278,462,5816,1.161,1087
812627208,0,60,1,0,1,0,55,5,3,1438.3,738,700.3,0.782,1226
711033408,0,50,1,2,1,0,36,5,2,9355,1626,7729,0.701,1230
779956608,0,41,1,2,0,0,31,6,3,20758,0,20758,0.688,1555
780376683,0,57,0,1,4,0,47,5,1,14612,1976,12636,1.768,1827
717912483,0,43,0,4,4,0,27,5,0,27259,0,27259,0.731,1376
714454758,0,57,1,3,1,0,47,4,3,6347,1594,4753,0.896,1771
780466533,0,54,0,3,5,0,41,3,0,21592,1676,19916,1.097,1873
715735233,0,51,1,5,1,0,44,5,1,3449,1598,1851,0.971,1679
720476733,0,47,1,3,1,0,34,2,2,6028,799,5229,0.819,1002
715872333,0,41,0,0,5,0,36,3,3,18214,1998,16216,0.829,1344
712375758,0,53,0,3,4,0,43,3,1,16393,1423,14970,1.642,1461
708868233,1,68,0,0,1,0,52,1,2,1438.3,900,538.3,0.743,760
718030083,0,59,0,1,3,0,36,4,2,7871,1687,6184,1.242,1428
720707283,0,48,0,4,4,0,36,5,0,5288,866,4422,0.869,1777
771698658,0,44,0,5,3,0,32,4,3,11376,2006,9370,0.619,1302
748326258,0,48,0,3,4,0,41,4,3,12302,1632,10670,1.509,1483
770817783,0,47,0,4,3,1,33,3,1,34516,1679,32837,0.623,1060
779353083,0,47,0,2,3,1,32,4,2,34516,1468,33048,0.505,1330
711441333,0,43,1,1,1,1,35,3,2,10514,1580,8934,0.504,1229
719808558,1,55,1,2,1,0,43,2,3,1438.3,0,1438.3,0.707,886
711551958,1,59,0,2,3,0,46,3,3,1438.3,0,1438.3,0.688,844
809164083,0,63,0,1,2,0,56,2,2,2619,1779,840,1.259,1450
820596183,0,58,0,2,5,0,53,2,0,24407,2395,22012,1.071,2311
715999608,0,53,1,2,1,0,36,4,2,2377,1649,728,0.93,1378
710565408,0,59,0,0,4,1,40,3,3,34516,1359,33157,1.327,1033
805543158,0,52,0,3,5,0,47,5,3,11086,2207,8879,0.869,1523
709752183,0,48,0,3,3,0,36,4,2,11432,2517,8915,0.615,1374
716479233,0,43,0,4,2,0,36,5,2,13258,1721,11537,0.908,1080
713837058,0,48,0,2,1,0,36,3,3,2571,1955,616,0.531,1234
718876683,0,43,1,4,1,0,31,5,0,5781,1168,4613,0.638,1600
770746908,0,44,0,4,3,0,30,5,2,7872,2509,5363,0.971,1155
794843883,0,41,0,3,4,0,35,6,2,34516,1202,33314,0.603,1353
803043933,0,44,1,3,1,1,38,4,3,11127,1835,9292,2.368,1546
758076408,0,50,0,2,2,0,43,2,3,1857,1603,254,0.579,1590
714606558,0,60,1,1,1,0,36,5,0,1913,1272,641,1.008,1448
778425408,0,44,0,4,4,0,24,5,0,3839,2295,1544,0.569,1271
714171108,0,48,1,3,2,0,39,6,3,2115,1141,974,0.616,1223
719662458,0,44,1,2,1,0,27,5,2,1438.3,679,759.3,0.859,1117
713137233,0,41,0,2,4,0,28,4,0,27756,1789,25967,0.75,994
769425858,0,45,0,3,3,0,32,4,2,1438.3,0,1438.3,0.81,1468
711297483,0,47,1,2,1,1,34,6,2,13878,2222,11656,0.853,1658
788900883,0,51,1,2,1,0,36,3,3,3106,1304,1802,0.604,1368
758348808,0,51,0,2,5,0,44,4,3,34516,1666,32850,0.613,1218
772336458,1,60,1,1,2,0,50,4,3,1438.3,1025,413.3,0.838,702
708711483,0,57,0,2,4,0,46,2,0,18871,1740,17131,1.727,1516
717906783,0,41,0,5,5,0,29,5,2,5207,1748,3459,1.073,1310
719437908,0,44,0,3,4,0,36,6,2,17965,1644,16321,0.921,1767
769433508,0,43,0,1,3,0,37,6,3,2733,1819,914,0.767,933
790096533,0,55,0,2,3,0,48,4,2,8863,1301,7562,1.207,1512
720997383,1,52,0,1,4,0,36,2,3,1857,1833,24,0.723,829
787541883,0,44,0,3,4,0,33,3,3,34516,0,34516,0.483,1120
709930758,0,41,0,2,2,0,30,5,3,11107,1222,9885,0.538,1506
789830058,0,44,0,4,4,0,34,4,2,21573,1585,19988,0.621,1384
710299608,1,53,1,2,1,0,33,2,3,2859,2517,342,0.993,817
710741208,0,39,0,2,4,0,36,4,2,5269,1475,3794,1.148,2094
821797008,1,49,0,5,2,0,45,2,3,1438.3,0,1438.3,0.734,815
708874533,1,45,1,2,1,0,36,1,2,3387,0,3387,0.789,510
715341858,0,54,0,2,4,0,46,6,3,1982,1289,693,0.939,1377
793636308,0,49,0,3,4,0,43,2,2,4645,1650,2995,0.912,1193
713779908,0,46,1,3,0,0,36,6,2,2189,1666,523,0.343,1287
712125258,1,46,0,4,5,0,30,3,3,2442,0,2442,0.98,701
709703433,0,47,0,3,3,0,38,4,2,21304,1532,19772,1.018,1770
721022433,0,44,0,2,3,0,36,5,2,7577,2480,5097,0.435,1409
710103558,0,50,0,3,5,0,31,4,2,3234,1486,1748,0.868,1354
715952883,0,73,0,0,2,0,36,5,2,4469,1125,3344,1.363,1765
719731458,0,56,0,3,2,0,46,6,4,2910,709,2201,0.538,1192
772390908,1,59,0,0,2,0,48,2,3,3616,1054,2562,0.616,687
787348608,0,70,0,0,1,0,56,3,3,3252,1495,1757,0.581,1227
709485033,0,55,1,2,1,0,36,4,3,2358,1152,1206,0.969,1737
715432608,0,43,0,4,3,0,36,4,0,22322,953,21369,0.769,1348
799471833,0,45,0,1,5,0,39,4,2,3133,1510,1623,0.609,1435
714187533,0,45,1,2,2,0,35,2,0,3540,849,2691,0.456,1321
779656908,0,40,0,1,2,0,23,6,2,6990,1378,5612,0.73,1479
788950158,0,36,0,2,4,0,22,2,3,34516,1652,32864,0.854,1283
778867533,1,59,1,0,2,0,40,1,1,1438.3,0,1438.3,1.038,689
710620383,0,43,0,4,3,0,35,6,2,24396,1171,23225,0.655,965
778661358,0,46,1,1,1,0,36,2,2,2474,2143,331,1.53,1541
789483333,0,41,0,2,2,0,32,5,3,5214,795,4419,0.707,1258
809855808,0,51,1,2,1,0,46,5,2,5207,1650,3557,0.708,1339
718464258,0,51,1,3,1,0,25,2,2,9512,1082,8430,0.701,1007
708528483,0,43,1,4,0,0,23,6,2,3187,2430,757,0.617,1387
771809733,1,64,1,0,2,0,53,1,3,3353,0,3353,1.021,960
719942883,0,54,0,5,3,0,38,3,3,2290,1434,856,0.923,1119
807226683,0,48,0,3,2,0,43,6,3,5279,1115,4164,0.549,1642
717806133,0,40,0,2,3,0,29,5,0,23603,0,23603,0.795,1382
720615708,0,57,0,0,2,0,45,6,2,2601,0,2601,0.814,1232
714511758,0,45,0,4,4,0,40,4,0,6363,1029,5334,0.838,1542
715050408,0,41,0,3,4,0,36,4,3,8029,1576,6453,0.826,1094
721132233,0,42,1,4,1,0,31,2,2,2410,1769,641,0.759,1217
719211558,1,45,0,2,3,0,36,1,2,3401,0,3401,0.898,744
712069008,0,42,1,4,1,0,23,4,0,2260,1007,1253,0.84,1614
715996983,0,47,0,4,4,0,30,5,2,17682,2481,15201,1.302,1747
773466258,0,48,1,4,2,0,42,3,3,4206,1100,3106,0.587,1144
798983508,0,43,0,1,4,1,37,4,2,34516,1440,33076,1.117,1575
719117433,0,41,0,4,4,0,36,4,0,23018,2168,20850,0.859,1463
716451183,0,54,1,1,2,0,44,5,3,5556,1711,3845,1.434,1706
718621608,1,54,1,2,0,0,44,3,1,6094,0,6094,1.129,909
715085733,0,61,0,0,2,0,52,3,2,2939,1999,940,2.145,2434
788977833,0,61,0,0,4,0,48,2,0,5362,1274,4088,1.015,1876
720272958,1,48,0,2,5,0,36,3,3,27126,0,27126,0.953,1000
708421833,0,45,1,4,1,0,36,6,2,3342,2517,825,0.771,1139
709173108,1,54,1,4,0,0,40,6,2,2532,2221,311,0.491,799
709879458,0,54,1,3,0,0,46,2,3,1900,1376,524,0.89,1881
715120608,0,44,0,3,3,0,37,2,2,14546,1703,12843,0.955,1273
770632758,0,50,1,4,0,0,36,2,2,2521,1608,913,0.587,1328
779078733,0,55,0,2,3,0,36,3,3,16427,1682,14745,0.631,1579
771742533,0,48,0,2,2,0,36,5,2,13068,1718,11350,0.607,937
720250158,0,45,0,2,3,0,33,6,0,23218,1814,21404,1.178,1749
716458983,0,60,0,0,2,0,36,5,3,3281,837,2444,1.859,1424
713747733,0,55,0,2,2,0,47,5,2,3096,2217,879,0.799,2011
712270158,0,62,1,0,2,0,52,5,3,2052,1250,802,0.728,1208
789562383,0,38,1,1,1,0,30,2,0,1438.3,583,855.3,0.888,1259
754897008,0,46,0,3,2,0,39,2,2,9432,1418,8014,0.612,1319
819700533,0,50,0,0,5,1,45,5,3,14938,2303,12635,0.804,949
712890408,0,45,0,2,3,0,36,5,2,2221,1343,878,0.869,1338
720248208,0,47,0,3,3,0,37,6,0,5731,1577,4154,0.657,1554
779749908,0,48,0,4,3,2,33,2,3,34516,2061,32455,0.722,1350
717401883,0,35,0,3,3,0,22,5,2,6985,1130,5855,0.963,1694
721509558,0,51,0,2,5,0,42,3,0,24221,1707,22514,0.816,1678
710572458,0,36,1,3,0,0,24,4,1,15439,0,15439,0.742,2069
714576183,0,47,0,4,4,0,36,6,2,21637,2030,19607,0.776,1222
721425558,0,52,0,2,5,0,37,2,2,14543,0,14543,0.788,1536
711109908,0,43,1,4,1,0,36,2,1,9684,2475,7209,0.697,1400
715203108,0,63,0,2,2,0,36,2,2,5007,930,4077,0.885,1050
710027508,0,61,0,0,3,0,54,3,0,1616,1047,569,0.984,1389
787464408,0,53,0,2,3,0,40,5,2,19116,0,19116,0.656,1184
783542133,0,53,1,3,1,0,47,5,2,2759,2223,536,1.32,2093
708330858,1,57,0,3,5,0,38,2,3,8249,1381,6868,0.798,678
714426783,0,38,1,2,0,0,31,2,2,14041,2154,11887,1.084,1467
712701333,0,53,0,3,3,0,43,5,2,5264,2169,3095,0.374,1219
709494483,0,63,1,0,1,0,54,4,1,2420,1912,508,1.256,1730
773373108,0,49,1,4,1,0,43,4,0,2826,2070,756,0.541,1025
715812258,0,45,0,2,4,0,34,5,2,12518,1539,10979,0.645,1165
778286433,0,67,0,0,2,0,56,4,1,5876,1297,4579,1.012,2133
789270033,0,48,0,3,4,1,37,3,3,34516,0,34516,0.448,1122
711569433,0,51,1,2,1,0,38,4,2,9648,1926,7722,0.549,1083
720214833,0,52,0,2,4,1,40,3,3,34516,2177,32339,1.32,1234
709346133,0,55,1,2,0,0,35,3,0,3025,2376,649,1.252,1277
788194458,0,34,0,3,3,0,26,4,3,3265,2517,748,0.952,1843
720779733,0,56,0,1,5,0,36,3,2,6041,1355,4686,0.685,1747
717424458,0,44,1,2,1,0,36,3,2,2293,1823,470,0.617,1166
708820308,0,47,0,3,4,0,36,6,2,13399,2505,10894,0.627,1326
710558058,0,46,1,3,1,0,38,4,3,4317,2517,1800,0.944,1619
770590758,0,43,1,3,2,0,29,5,0,3378,1069,2309,0.581,1285
718490658,0,50,1,1,1,0,36,4,3,5012,2242,2770,0.816,1142
711985833,0,38,1,4,1,0,30,4,0,2569,1605,964,0.574,1190
708967608,0,53,1,1,1,0,45,3,2,3471,1785,1686,1.051,1052
718505958,0,43,0,5,5,1,31,5,3,34516,1699,32817,0.771,1628
715024233,0,53,0,1,5,0,36,6,2,3312,1844,1468,0.986,1740
779249583,0,56,1,1,1,0,38,4,3,2578,2462,116,1.707,1378
709278258,1,54,0,2,2,0,44,4,2,2902,2517,385,0.821,996
778928283,0,57,1,3,1,0,39,3,1,2742,2321,421,1.315,1389
712299858,0,62,0,1,1,0,53,5,3,2077,1571,506,1.031,1365
799224108,0,46,1,4,1,0,40,5,2,6265,1942,4323,1.027,1715
809976033,0,49,0,2,3,0,44,6,0,7819,1560,6259,0.827,1582
716203308,0,52,0,3,4,0,42,6,3,2731,1692,1039,0.62,1220
714871683,1,58,0,1,2,0,36,2,3,1438.3,537,901.3,0.819,715
716139933,0,54,0,0,4,0,36,3,2,16286,1710,14576,1.223,2552
716984658,0,49,0,1,5,0,39,3,3,34516,0,34516,0.507,1106
713086008,0,58,1,3,1,0,47,6,0,2609,2439,170,1.269,1731
713773458,0,52,0,2,3,0,45,5,2,7567,1173,6394,0.541,1435
719242533,0,41,0,5,3,0,33,5,3,22770,2517,20253,0.994,1882
772712658,0,62,1,0,1,0,50,5,2,3791,1648,2143,1.227,2058
788868858,0,54,0,2,1,0,39,4,2,2702,2517,185,1.019,1658
811898133,0,40,1,3,1,0,35,3,3,2555,2117,438,1.049,1334
788808633,0,43,0,3,4,0,26,5,2,2355,1090,1265,0.751,1441
779804208,0,53,1,2,2,0,42,6,0,5332,0,5332,0.939,1371
781391058,0,55,0,1,2,0,49,6,2,1443,1375,68,0.683,1991
790134408,0,46,0,4,3,0,39,6,3,10741,755,9986,1.166,1278
788853258,0,41,0,1,3,0,25,3,0,7984,1503,6481,0.797,1734
711857733,0,49,0,3,3,0,32,3,2,18584,2517,16067,0.703,1330
822969858,0,61,1,0,0,0,56,4,3,5585,1465,4120,1.503,1787
719554758,0,46,0,2,4,0,38,6,2,34516,2165,32351,0.837,1672
711643458,0,50,1,1,1,0,43,6,4,1438.3,0,1438.3,1.068,1439
788830683,0,40,0,2,4,0,24,5,0,2478,2031,447,1.284,1558
807030858,0,51,0,4,5,0,46,6,3,34516,2274,32242,0.788,1795
793059108,0,50,1,2,2,0,44,6,3,2339,1440,899,0.431,893
